Problem:    TP
Rows:       3934
Columns:    5544 (5544 integer, 5544 binary)
  1124 R4[6,4,2]                   0                          -0 
  1125 R4[6,4,3]                   0                          -0 
  1126 R4[6,4,4]                   0                          -0 
  1127 R4[6,4,5]                   0                          -0 
  1128 R4[6,5,1]                   0                          -0 
  1129 R4[6,5,2]                   0                          -0 
  1130 R4[6,5,3]                   0                          -0 
  1131 R4[6,5,4]                   0                          -0 
  1132 R4[6,5,5]                   0                          -0 
  1133 R4[6,6,1]                   0                          -0 
  1134 R4[6,6,2]                   0                          -0 
  1135 R4[6,6,3]                   0                          -0 
  1136 R4[6,6,4]                   0                          -0 
  1137 R4[6,6,5]                   0                          -0 
  1138 R4[6,7,1]                   0                          -0 
  1139 R4[6,7,2]                   0                          -0 
  1140 R4[6,7,3]                   0                          -0 
  1141 R4[6,7,4]                   0                          -0 
  1142 R4[6,7,5]                   0                          -0 
  1143 R4[6,8,1]                   0                          -0 
  1144 R4[6,8,2]                   0                          -0 
  1145 R4[6,8,3]                   0                          -0 
  1146 R4[6,8,4]                   0                          -0 
  1147 R4[6,8,5]                   0                          -0 
  1148 R4[6,9,1]                   0                          -0 
  1149 R4[6,9,2]                   0                          -0 
  1150 R4[6,9,3]                   0                          -0 
  1151 R4[6,9,4]                   0                          -0 
  1152 R4[6,9,5]                   0                          -0 
  1153 R4[6,10,1]                  0                          -0 
  1154 R4[6,10,2]                  0                          -0 
  1155 R4[6,10,3]                  0                          -0 
  1156 R4[6,10,4]                  0                          -0 
  1157 R4[6,10,5]                  0                          -0 
  1158 R4[6,11,1]                  0                          -0 
  1159 R4[6,11,2]                  0                          -0 
  1160 R4[6,11,3]                  0                          -0 
  1161 R4[6,11,4]                  0                          -0 
  1162 R4[6,11,5]                  0                          -0 
  1163 R4[6,12,1]                  0                          -0 
  1164 R4[6,12,2]                  0                          -0 
  1165 R4[6,12,3]                  0                          -0 
  1166 R4[6,12,4]                  0                          -0 
  1167 R4[6,12,5]                  0                          -0 
  1168 R4[6,13,1]                  0                          -0 
  1169 R4[6,13,2]                  0                          -0 
  1170 R4[6,13,3]                  0                          -0 
  1171 R4[6,13,4]                  0                          -0 
  1172 R4[6,13,5]                  0                          -0 
  1173 R4[6,14,1]                  0                          -0 
  1174 R4[6,14,2]                  0                          -0 
  1175 R4[6,14,3]                  0                          -0 
  1176 R4[6,14,4]                  0                          -0 
  1177 R4[6,14,5]                  0                          -0 
  1178 R4[7,1,1]                   0                          -0 
  1179 R4[7,1,2]                   0                          -0 
  1180 R4[7,1,3]                   0                          -0 
  1181 R4[7,1,4]                   0                          -0 
  1182 R4[7,1,5]                   0                          -0 
  1183 R4[7,2,1]                   0                          -0 
  1184 R4[7,2,2]                   0                          -0 
  1185 R4[7,2,3]                   0                          -0 
  1186 R4[7,2,4]                   0                          -0 
  1187 R4[7,2,5]                   0                          -0 
  1188 R4[7,3,1]                   0                          -0 
  1189 R4[7,3,2]                   0                          -0 
  1190 R4[7,3,3]                   0                          -0 
  1191 R4[7,3,4]                   0                          -0 
  1192 R4[7,3,5]                   0                          -0 
  1193 R4[7,4,1]                   0                          -0 
  1194 R4[7,4,2]                   0                          -0 
  1195 R4[7,4,3]                   0                          -0 
  1196 R4[7,4,4]                   0                          -0 
  1197 R4[7,4,5]                   0                          -0 
  1198 R4[7,5,1]                   0                          -0 
  1199 R4[7,5,2]                   0                          -0 
  1200 R4[7,5,3]                   0                          -0 
  1201 R4[7,5,4]                   0                          -0 
  1202 R4[7,5,5]                   0                          -0 
  1203 R4[7,6,1]                   0                          -0 
  1204 R4[7,6,2]                   0                          -0 
  1205 R4[7,6,3]                   0                          -0 
  1206 R4[7,6,4]                   0                          -0 
  1207 R4[7,6,5]                   0                          -0 
  1208 R4[7,7,1]                   0                          -0 
  1209 R4[7,7,2]                   0                          -0 
  1210 R4[7,7,3]                   0                          -0 
  1211 R4[7,7,4]                   0                          -0 
  1212 R4[7,7,5]                   0                          -0 
  1213 R4[7,8,1]                   0                          -0 
  1214 R4[7,8,2]                   0                          -0 
  1215 R4[7,8,3]                   0                          -0 
  1216 R4[7,8,4]                   0                          -0 
  1217 R4[7,8,5]                   0                          -0 
  1218 R4[7,9,1]                   0                          -0 
  1219 R4[7,9,2]                   0                          -0 
  1220 R4[7,9,3]                   0                          -0 
  1221 R4[7,9,4]                   0                          -0 
  1222 R4[7,9,5]                   0                          -0 
  1223 R4[7,10,1]                  0                          -0 
  1224 R4[7,10,2]                  0                          -0 
  1225 R4[7,10,3]                  0                          -0 
  1226 R4[7,10,4]                  0                          -0 
  1227 R4[7,10,5]                  0                          -0 
  1228 R4[7,11,1]                  0                          -0 
  1229 R4[7,11,2]                  0                          -0 
  1230 R4[7,11,3]                  0                          -0 
  1231 R4[7,11,4]                  0                          -0 
  1232 R4[7,11,5]                  0                          -0 
  1233 R4[7,12,1]                  0                          -0 
  1234 R4[7,12,2]                  0                          -0 
  1235 R4[7,12,3]                  0                          -0 
  1236 R4[7,12,4]                  0                          -0 
  1237 R4[7,12,5]                  0                          -0 
  1238 R4[7,13,1]                  0                          -0 
  1239 R4[7,13,2]                  0                          -0 
  1240 R4[7,13,3]                  0                          -0 
  1241 R4[7,13,4]                  0                          -0 
  1242 R4[7,13,5]                  0                          -0 
  1243 R4[7,14,1]                  0                          -0 
  1244 R4[7,14,2]                  0                          -0 
  1245 R4[7,14,3]                  0                          -0 
  1246 R4[7,14,4]                  0                          -0 
  1247 R4[7,14,5]                  0                          -0 
  1248 R4[8,1,1]                   0                          -0 
  1249 R4[8,1,2]                   0                          -0 
  1250 R4[8,1,3]                   0                          -0 
  1251 R4[8,1,4]                   0                          -0 
  1252 R4[8,1,5]                   0                          -0 
  1253 R4[8,2,1]                   0                          -0 
  1254 R4[8,2,2]                   0                          -0 
  1255 R4[8,2,3]                   0                          -0 
  1256 R4[8,2,4]                   0                          -0 
  1257 R4[8,2,5]                   0                          -0 
  1258 R4[8,3,1]                   0                          -0 
  1259 R4[8,3,2]                   0                          -0 
  1260 R4[8,3,3]                   0                          -0 
  1261 R4[8,3,4]                   0                          -0 
  1262 R4[8,3,5]                   0                          -0 
  1263 R4[8,4,1]                   0                          -0 
  1264 R4[8,4,2]                   0                          -0 
  1265 R4[8,4,3]                   0                          -0 
  1266 R4[8,4,4]                   0                          -0 
  1267 R4[8,4,5]                   0                          -0 
  1268 R4[8,5,1]                   0                          -0 
  1269 R4[8,5,2]                   0                          -0 
  1270 R4[8,5,3]                   0                          -0 
  1271 R4[8,5,4]                   0                          -0 
  1272 R4[8,5,5]                   0                          -0 
  1273 R4[8,6,1]                   0                          -0 
  1274 R4[8,6,2]                   0                          -0 
  1275 R4[8,6,3]                   0                          -0 
  1276 R4[8,6,4]                   0                          -0 
  1277 R4[8,6,5]                   0                          -0 
  1278 R4[8,7,1]                   0                          -0 
  1279 R4[8,7,2]                   0                          -0 
  1280 R4[8,7,3]                   0                          -0 
  1281 R4[8,7,4]                   0                          -0 
  1282 R4[8,7,5]                   0                          -0 
  1283 R4[8,8,1]                   0                          -0 
  1284 R4[8,8,2]                   0                          -0 
  1285 R4[8,8,3]                   0                          -0 
  1286 R4[8,8,4]                   0                          -0 
  1287 R4[8,8,5]                   0                          -0 
  1288 R4[8,9,1]                   0                          -0 
  1289 R4[8,9,2]                   0                          -0 
  1290 R4[8,9,3]                   0                          -0 
  1291 R4[8,9,4]                   0                          -0 
  1292 R4[8,9,5]                   0                          -0 
  1293 R4[8,10,1]                  0                          -0 
  1294 R4[8,10,2]                  0                          -0 
  1295 R4[8,10,3]                  0                          -0 
  1296 R4[8,10,4]                  0                          -0 
  1297 R4[8,10,5]                  0                          -0 
  1298 R4[8,11,1]                  0                          -0 
  1299 R4[8,11,2]                  0                          -0 
  1300 R4[8,11,3]                  0                          -0 
  1301 R4[8,11,4]                  0                          -0 
  1302 R4[8,11,5]                  0                          -0 
  1303 R4[8,12,1]                  0                          -0 
  1304 R4[8,12,2]                  0                          -0 
  1305 R4[8,12,3]                  0                          -0 
  1306 R4[8,12,4]                  0                          -0 
  1307 R4[8,12,5]                  0                          -0 
  1308 R4[8,13,1]                  0                          -0 
  1309 R4[8,13,2]                  0                          -0 
  1310 R4[8,13,3]                  0                          -0 
  1311 R4[8,13,4]                  0                          -0 
  1312 R4[8,13,5]                  0                          -0 
  1313 R4[8,14,1]                  0                          -0 
  1314 R4[8,14,2]                  0                          -0 
  1315 R4[8,14,3]                  0                          -0 
  1316 R4[8,14,4]                  0                          -0 
  1317 R4[8,14,5]                  0                          -0 
  1318 R4[9,1,1]                   0                          -0 
  1319 R4[9,1,2]                   0                          -0 
  1320 R4[9,1,3]                   0                          -0 
  1321 R4[9,1,4]                   0                          -0 
  1322 R4[9,1,5]                   0                          -0 
  1323 R4[9,2,1]                   0                          -0 
  1324 R4[9,2,2]                   0                          -0 
  1325 R4[9,2,3]                   0                          -0 
  1326 R4[9,2,4]                   0                          -0 
  1327 R4[9,2,5]                   0                          -0 
  1328 R4[9,3,1]                   0                          -0 
  1329 R4[9,3,2]                   0                          -0 
  1330 R4[9,3,3]                   0                          -0 
  1331 R4[9,3,4]                   0                          -0 
  1332 R4[9,3,5]                   0                          -0 
  1333 R4[9,4,1]                   0                          -0 
  1334 R4[9,4,2]                   0                          -0 
  1335 R4[9,4,3]                   0                          -0 
  1336 R4[9,4,4]                   0                          -0 
  1337 R4[9,4,5]                   0                          -0 
  1338 R4[9,5,1]                   0                          -0 
  1339 R4[9,5,2]                   0                          -0 
  1340 R4[9,5,3]                   0                          -0 
  1341 R4[9,5,4]                   0                          -0 
  1342 R4[9,5,5]                   0                          -0 
  1343 R4[9,6,1]                   0                          -0 
  1344 R4[9,6,2]                   0                          -0 
  1345 R4[9,6,3]                   0                          -0 
  1346 R4[9,6,4]                   0                          -0 
  1347 R4[9,6,5]                   0                          -0 
  1348 R4[9,7,1]                   0                          -0 
  1349 R4[9,7,2]                   0                          -0 
  1350 R4[9,7,3]                   0                          -0 
  1351 R4[9,7,4]                   0                          -0 
  1352 R4[9,7,5]                   0                          -0 
  1353 R4[9,8,1]                   0                          -0 
  1354 R4[9,8,2]                   0                          -0 
  1355 R4[9,8,3]                   0                          -0 
  1356 R4[9,8,4]                   0                          -0 
  1357 R4[9,8,5]                   0                          -0 
  1358 R4[9,9,1]                   0                          -0 
  1359 R4[9,9,2]                   0                          -0 
  1360 R4[9,9,3]                   0                          -0 
  1361 R4[9,9,4]                   0                          -0 
  1362 R4[9,9,5]                   0                          -0 
  1363 R4[9,10,1]                  0                          -0 
  1364 R4[9,10,2]                  0                          -0 
  1365 R4[9,10,3]                  0                          -0 
  1366 R4[9,10,4]                  0                          -0 
  1367 R4[9,10,5]                  0                          -0 
  1368 R4[9,11,1]                  0                          -0 
  1369 R4[9,11,2]                  0                          -0 
  1370 R4[9,11,3]                  0                          -0 
  1371 R4[9,11,4]                  0                          -0 
  1372 R4[9,11,5]                  0                          -0 
  1373 R4[9,12,1]                  0                          -0 
  1374 R4[9,12,2]                  0                          -0 
  1375 R4[9,12,3]                  0                          -0 
  1376 R4[9,12,4]                  0                          -0 
  1377 R4[9,12,5]                  0                          -0 
  1378 R4[9,13,1]                  0                          -0 
  1379 R4[9,13,2]                  0                          -0 
  1380 R4[9,13,3]                  0                          -0 
  1381 R4[9,13,4]                  0                          -0 
  1382 R4[9,13,5]                  0                          -0 
  1383 R4[9,14,1]                  0                          -0 
  1384 R4[9,14,2]                  0                          -0 
  1385 R4[9,14,3]                  0                          -0 
  1386 R4[9,14,4]                  0                          -0 
  1387 R4[9,14,5]                  0                          -0 
  1388 R4[10,1,1]                  0                          -0 
  1389 R4[10,1,2]                  0                          -0 
  1390 R4[10,1,3]                  0                          -0 
  1391 R4[10,1,4]                  0                          -0 
  1392 R4[10,1,5]                  0                          -0 
  1393 R4[10,2,1]                  0                          -0 
  1394 R4[10,2,2]                  0                          -0 
  1395 R4[10,2,3]                  0                          -0 
  1396 R4[10,2,4]                  0                          -0 
  1397 R4[10,2,5]                  0                          -0 
  1398 R4[10,3,1]                  0                          -0 
  1399 R4[10,3,2]                  0                          -0 
  1400 R4[10,3,3]                  0                          -0 
  1401 R4[10,3,4]                  0                          -0 
  1402 R4[10,3,5]                  0                          -0 
  1403 R4[10,4,1]                  0                          -0 
  1404 R4[10,4,2]                  0                          -0 
  1405 R4[10,4,3]                  0                          -0 
  1406 R4[10,4,4]                  0                          -0 
  1407 R4[10,4,5]                  0                          -0 
  1408 R4[10,5,1]                  0                          -0 
  1409 R4[10,5,2]                  0                          -0 
  1410 R4[10,5,3]                  0                          -0 
  1411 R4[10,5,4]                  0                          -0 
  1412 R4[10,5,5]                  0                          -0 
  1413 R4[10,6,1]                  0                          -0 
  1414 R4[10,6,2]                  0                          -0 
  1415 R4[10,6,3]                  0                          -0 
  1416 R4[10,6,4]                  0                          -0 
  1417 R4[10,6,5]                  0                          -0 
  1418 R4[10,7,1]                  0                          -0 
  1419 R4[10,7,2]                  0                          -0 
  1420 R4[10,7,3]                  0                          -0 
  1421 R4[10,7,4]                  0                          -0 
  1422 R4[10,7,5]                  0                          -0 
  1423 R4[10,8,1]                  0                          -0 
  1424 R4[10,8,2]                  0                          -0 
  1425 R4[10,8,3]                  0                          -0 
  1426 R4[10,8,4]                  0                          -0 
  1427 R4[10,8,5]                  0                          -0 
  1428 R4[10,9,1]                  0                          -0 
  1429 R4[10,9,2]                  0                          -0 
  1430 R4[10,9,3]                  0                          -0 
  1431 R4[10,9,4]                  0                          -0 
  1432 R4[10,9,5]                  0                          -0 
  1433 R4[10,10,1]                 0                          -0 
  1434 R4[10,10,2]                 0                          -0 
  1435 R4[10,10,3]                 0                          -0 
  1436 R4[10,10,4]                 0                          -0 
  1437 R4[10,10,5]                 0                          -0 
  1438 R4[10,11,1]                 0                          -0 
  1439 R4[10,11,2]                 0                          -0 
  1440 R4[10,11,3]                 0                          -0 
  1441 R4[10,11,4]                 0                          -0 
  1442 R4[10,11,5]                 0                          -0 
  1443 R4[10,12,1]                 0                          -0 
  1444 R4[10,12,2]                 0                          -0 
  1445 R4[10,12,3]                 0                          -0 
  1446 R4[10,12,4]                 0                          -0 
  1447 R4[10,12,5]                 0                          -0 
  1448 R4[10,13,1]                 0                          -0 
  1449 R4[10,13,2]                 0                          -0 
  1450 R4[10,13,3]                 0                          -0 
  1451 R4[10,13,4]                 0                          -0 
  1452 R4[10,13,5]                 0                          -0 
  1453 R4[10,14,1]                 0                          -0 
  1454 R4[10,14,2]                 0                          -0 
  1455 R4[10,14,3]                 0                          -0 
  1456 R4[10,14,4]                 0                          -0 
  1457 R4[10,14,5]                 0                          -0 
  1458 R4[11,1,1]                  0                          -0 
  1459 R4[11,1,2]                  0                          -0 
  1460 R4[11,1,3]                  0                          -0 
  1461 R4[11,1,4]                  0                          -0 
  1462 R4[11,1,5]                  0                          -0 
  1463 R4[11,2,1]                  0                          -0 
  1464 R4[11,2,2]                  0                          -0 
  1465 R4[11,2,3]                  0                          -0 
  1466 R4[11,2,4]                  0                          -0 
  1467 R4[11,2,5]                  0                          -0 
  1468 R4[11,3,1]                  0                          -0 
  1469 R4[11,3,2]                  0                          -0 
  1470 R4[11,3,3]                  0                          -0 
  1471 R4[11,3,4]                  0                          -0 
  1472 R4[11,3,5]                  0                          -0 
  1473 R4[11,4,1]                  0                          -0 
  1474 R4[11,4,2]                  0                          -0 
  1475 R4[11,4,3]                  0                          -0 
  1476 R4[11,4,4]                  0                          -0 
  1477 R4[11,4,5]                  0                          -0 
  1478 R4[11,5,1]                  0                          -0 
  1479 R4[11,5,2]                  0                          -0 
  1480 R4[11,5,3]                  0                          -0 
  1481 R4[11,5,4]                  0                          -0 
  1482 R4[11,5,5]                  0                          -0 
  1483 R4[11,6,1]                  0                          -0 
  1484 R4[11,6,2]                  0                          -0 
  1485 R4[11,6,3]                  0                          -0 
  1486 R4[11,6,4]                  0                          -0 
  1487 R4[11,6,5]                  0                          -0 
  1488 R4[11,7,1]                  0                          -0 
  1489 R4[11,7,2]                  0                          -0 
  1490 R4[11,7,3]                  0                          -0 
  1491 R4[11,7,4]                  0                          -0 
  1492 R4[11,7,5]                  0                          -0 
  1493 R4[11,8,1]                  0                          -0 
  1494 R4[11,8,2]                  0                          -0 
  1495 R4[11,8,3]                  0                          -0 
  1496 R4[11,8,4]                  0                          -0 
  1497 R4[11,8,5]                  0                          -0 
  1498 R4[11,9,1]                  0                          -0 
  1499 R4[11,9,2]                  0                          -0 
  1500 R4[11,9,3]                  0                          -0 
  1501 R4[11,9,4]                  0                          -0 
  1502 R4[11,9,5]                  0                          -0 
  1503 R4[11,10,1]                 0                          -0 
  1504 R4[11,10,2]                 0                          -0 
  1505 R4[11,10,3]                 0                          -0 
  1506 R4[11,10,4]                 0                          -0 
  1507 R4[11,10,5]                 0                          -0 
  1508 R4[11,11,1]                 0                          -0 
  1509 R4[11,11,2]                 0                          -0 
  1510 R4[11,11,3]                 0                          -0 
  1511 R4[11,11,4]                 0                          -0 
  1512 R4[11,11,5]                 0                          -0 
  1513 R4[11,12,1]                 0                          -0 
  1514 R4[11,12,2]                 0                          -0 
  1515 R4[11,12,3]                 0                          -0 
  1516 R4[11,12,4]                 0                          -0 
  1517 R4[11,12,5]                 0                          -0 
  1518 R4[11,13,1]                 0                          -0 
  1519 R4[11,13,2]                 0                          -0 
  1520 R4[11,13,3]                 0                          -0 
  1521 R4[11,13,4]                 0                          -0 
  1522 R4[11,13,5]                 0                          -0 
  1523 R4[11,14,1]                 0                          -0 
  1524 R4[11,14,2]                 0                          -0 
  1525 R4[11,14,3]                 0                          -0 
  1526 R4[11,14,4]                 0                          -0 
  1527 R4[11,14,5]                 0                          -0 
  1528 R4[12,1,1]                  0                          -0 
  1529 R4[12,1,2]                  0                          -0 
  1530 R4[12,1,3]                  0                          -0 
  1531 R4[12,1,4]                  0                          -0 
  1532 R4[12,1,5]                  0                          -0 
  1533 R4[12,2,1]                  0                          -0 
  1534 R4[12,2,2]                  0                          -0 
  1535 R4[12,2,3]                  0                          -0 
  1536 R4[12,2,4]                  0                          -0 
  1537 R4[12,2,5]                  0                          -0 
  1538 R4[12,3,1]                  0                          -0 
  1539 R4[12,3,2]                  0                          -0 
  1540 R4[12,3,3]                  0                          -0 
  1541 R4[12,3,4]                  0                          -0 
  1542 R4[12,3,5]                  0                          -0 
  1543 R4[12,4,1]                  0                          -0 
  1544 R4[12,4,2]                  0                          -0 
  1545 R4[12,4,3]                  0                          -0 
  1546 R4[12,4,4]                  0                          -0 
  1547 R4[12,4,5]                  0                          -0 
  1548 R4[12,5,1]                  0                          -0 
  1549 R4[12,5,2]                  0                          -0 
  1550 R4[12,5,3]                  0                          -0 
  1551 R4[12,5,4]                  0                          -0 
  1552 R4[12,5,5]                  0                          -0 
  1553 R4[12,6,1]                  0                          -0 
  1554 R4[12,6,2]                  0                          -0 
  1555 R4[12,6,3]                  0                          -0 
  1556 R4[12,6,4]                  0                          -0 
  1557 R4[12,6,5]                  0                          -0 
  1558 R4[12,7,1]                  0                          -0 
  1559 R4[12,7,2]                  0                          -0 
  1560 R4[12,7,3]                  0                          -0 
  1561 R4[12,7,4]                  0                          -0 
  1562 R4[12,7,5]                  0                          -0 
  1563 R4[12,8,1]                  0                          -0 
  1564 R4[12,8,2]                  0                          -0 
  1565 R4[12,8,3]                  0                          -0 
  1566 R4[12,8,4]                  0                          -0 
  1567 R4[12,8,5]                  0                          -0 
  1568 R4[12,9,1]                  0                          -0 
  1569 R4[12,9,2]                  0                          -0 
  1570 R4[12,9,3]                  0                          -0 
  1571 R4[12,9,4]                  0                          -0 
  1572 R4[12,9,5]                  0                          -0 
  1573 R4[12,10,1]                 0                          -0 
  1574 R4[12,10,2]                 0                          -0 
  1575 R4[12,10,3]                 0                          -0 
  1576 R4[12,10,4]                 0                          -0 
  1577 R4[12,10,5]                 0                          -0 
  1578 R4[12,11,1]                 0                          -0 
  1579 R4[12,11,2]                 0                          -0 
  1580 R4[12,11,3]                 0                          -0 
  1581 R4[12,11,4]                 0                          -0 
  1582 R4[12,11,5]                 0                          -0 
  1583 R4[12,12,1]                 0                          -0 
  1584 R4[12,12,2]                 0                          -0 
  1585 R4[12,12,3]                 0                          -0 
  1586 R4[12,12,4]                 0                          -0 
  1587 R4[12,12,5]                 0                          -0 
  1588 R4[12,13,1]                 0                          -0 
  1589 R4[12,13,2]                 0                          -0 
  1590 R4[12,13,3]                 0                          -0 
  1591 R4[12,13,4]                 0                          -0 
  1592 R4[12,13,5]                 0                          -0 
  1593 R4[12,14,1]                 0                          -0 
  1594 R4[12,14,2]                 0                          -0 
  1595 R4[12,14,3]                 0                          -0 
  1596 R4[12,14,4]                 0                          -0 
  1597 R4[12,14,5]                 0                          -0 
  1598 R4[13,1,1]                  0                          -0 
  1599 R4[13,1,2]                  0                          -0 
  1600 R4[13,1,3]                  0                          -0 
  1601 R4[13,1,4]                  0                          -0 
  1602 R4[13,1,5]                  0                          -0 
  1603 R4[13,2,1]                  0                          -0 
  1604 R4[13,2,2]                  0                          -0 
  1605 R4[13,2,3]                  0                          -0 
  1606 R4[13,2,4]                  0                          -0 
  1607 R4[13,2,5]                  0                          -0 
  1608 R4[13,3,1]                  0                          -0 
  1609 R4[13,3,2]                  0                          -0 
  1610 R4[13,3,3]                  0                          -0 
  1611 R4[13,3,4]                  0                          -0 
  1612 R4[13,3,5]                  0                          -0 
  1613 R4[13,4,1]                  0                          -0 
  1614 R4[13,4,2]                  0                          -0 
  1615 R4[13,4,3]                  0                          -0 
  1616 R4[13,4,4]                  0                          -0 
  1617 R4[13,4,5]                  0                          -0 
  1618 R4[13,5,1]                  0                          -0 
  1619 R4[13,5,2]                  0                          -0 
  1620 R4[13,5,3]                  0                          -0 
  1621 R4[13,5,4]                  0                          -0 
  1622 R4[13,5,5]                  0                          -0 
  1623 R4[13,6,1]                  0                          -0 
  1624 R4[13,6,2]                  0                          -0 
  1625 R4[13,6,3]                  0                          -0 
  1626 R4[13,6,4]                  0                          -0 
  1627 R4[13,6,5]                  0                          -0 
  1628 R4[13,7,1]                  0                          -0 
  1629 R4[13,7,2]                  0                          -0 
  1630 R4[13,7,3]                  0                          -0 
  1631 R4[13,7,4]                  0                          -0 
  1632 R4[13,7,5]                  0                          -0 
  1633 R4[13,8,1]                  0                          -0 
  1634 R4[13,8,2]                  0                          -0 
  1635 R4[13,8,3]                  0                          -0 
  1636 R4[13,8,4]                  0                          -0 
  1637 R4[13,8,5]                  0                          -0 
  1638 R4[13,9,1]                  0                          -0 
  1639 R4[13,9,2]                  0                          -0 
  1640 R4[13,9,3]                  0                          -0 
  1641 R4[13,9,4]                  0                          -0 
  1642 R4[13,9,5]                  0                          -0 
  1643 R4[13,10,1]                 0                          -0 
  1644 R4[13,10,2]                 0                          -0 
  1645 R4[13,10,3]                 0                          -0 
  1646 R4[13,10,4]                 0                          -0 
  1647 R4[13,10,5]                 0                          -0 
  1648 R4[13,11,1]                 0                          -0 
  1649 R4[13,11,2]                 0                          -0 
  1650 R4[13,11,3]                 0                          -0 
  1651 R4[13,11,4]                 0                          -0 
  1652 R4[13,11,5]                 0                          -0 
  1653 R4[13,12,1]                 0                          -0 
  1654 R4[13,12,2]                 0                          -0 
  1655 R4[13,12,3]                 0                          -0 
  1656 R4[13,12,4]                 0                          -0 
  1657 R4[13,12,5]                 0                          -0 
  1658 R4[13,13,1]                 0                          -0 
  1659 R4[13,13,2]                 0                          -0 
  1660 R4[13,13,3]                 0                          -0 
  1661 R4[13,13,4]                 0                          -0 
  1662 R4[13,13,5]                 0                          -0 
  1663 R4[13,14,1]                 0                          -0 
  1664 R4[13,14,2]                 0                          -0 
  1665 R4[13,14,3]                 0                          -0 
  1666 R4[13,14,4]                 0                          -0 
  1667 R4[13,14,5]                 0                          -0 
  1668 R4[14,1,1]                  0                          -0 
  1669 R4[14,1,2]                  0                          -0 
  1670 R4[14,1,3]                  0                          -0 
  1671 R4[14,1,4]                  0                          -0 
  1672 R4[14,1,5]                  0                          -0 
  1673 R4[14,2,1]                  0                          -0 
  1674 R4[14,2,2]                  0                          -0 
  1675 R4[14,2,3]                  0                          -0 
  1676 R4[14,2,4]                  0                          -0 
  1677 R4[14,2,5]                  0                          -0 
  1678 R4[14,3,1]                  0                          -0 
  1679 R4[14,3,2]                  0                          -0 
  1680 R4[14,3,3]                  0                          -0 
  1681 R4[14,3,4]                  0                          -0 
  1682 R4[14,3,5]                  0                          -0 
  1683 R4[14,4,1]                  0                          -0 
  1684 R4[14,4,2]                  0                          -0 
  1685 R4[14,4,3]                  0                          -0 
  1686 R4[14,4,4]                  0                          -0 
  1687 R4[14,4,5]                  0                          -0 
  1688 R4[14,5,1]                  0                          -0 
  1689 R4[14,5,2]                  0                          -0 
  1690 R4[14,5,3]                  0                          -0 
  1691 R4[14,5,4]                  0                          -0 
  1692 R4[14,5,5]                  0                          -0 
  1693 R4[14,6,1]                  0                          -0 
  1694 R4[14,6,2]                  0                          -0 
  1695 R4[14,6,3]                  0                          -0 
  1696 R4[14,6,4]                  0                          -0 
  1697 R4[14,6,5]                  0                          -0 
  1698 R4[14,7,1]                  0                          -0 
  1699 R4[14,7,2]                  0                          -0 
  1700 R4[14,7,3]                  0                          -0 
  1701 R4[14,7,4]                  0                          -0 
  1702 R4[14,7,5]                  0                          -0 
  1703 R4[14,8,1]                  0                          -0 
  1704 R4[14,8,2]                  0                          -0 
  1705 R4[14,8,3]                  0                          -0 
  1706 R4[14,8,4]                  0                          -0 
  1707 R4[14,8,5]                  0                          -0 
  1708 R4[14,9,1]                  0                          -0 
  1709 R4[14,9,2]                  0                          -0 
  1710 R4[14,9,3]                  0                          -0 
  1711 R4[14,9,4]                  0                          -0 
  1712 R4[14,9,5]                  0                          -0 
  1713 R4[14,10,1]                 0                          -0 
  1714 R4[14,10,2]                 0                          -0 
  1715 R4[14,10,3]                 0                          -0 
  1716 R4[14,10,4]                 0                          -0 
  1717 R4[14,10,5]                 0                          -0 
  1718 R4[14,11,1]                 0                          -0 
  1719 R4[14,11,2]                 0                          -0 
  1720 R4[14,11,3]                 0                          -0 
  1721 R4[14,11,4]                 0                          -0 
  1722 R4[14,11,5]                 0                          -0 
  1723 R4[14,12,1]                 0                          -0 
  1724 R4[14,12,2]                 0                          -0 
  1725 R4[14,12,3]                 0                          -0 
  1726 R4[14,12,4]                 0                          -0 
  1727 R4[14,12,5]                 0                          -0 
  1728 R4[14,13,1]                 0                          -0 
  1729 R4[14,13,2]                 0                          -0 
  1730 R4[14,13,3]                 0                          -0 
  1731 R4[14,13,4]                 0                          -0 
  1732 R4[14,13,5]                 0                          -0 
  1733 R4[14,14,1]                 0                          -0 
  1734 R4[14,14,2]                 0                          -0 
  1735 R4[14,14,3]                 0                          -0 
  1736 R4[14,14,4]                 0                          -0 
  1737 R4[14,14,5]                 0                          -0 
  1738 R5[1,1,1]                   1                           1 
  1739 R5[1,1,2]                   1                           1 
  1740 R5[1,1,3]                   1                           1 
  1741 R5[1,1,4]                   0                           1 
  1742 R5[1,2,1]                   0                           1 
  1743 R5[1,2,2]                   0                           1 
  1744 R5[1,2,3]                   0                           1 
  1745 R5[1,2,4]                   0                           1 
  1746 R5[1,3,1]                   0                           1 
  1747 R5[1,3,2]                   0                           1 
  1748 R5[1,3,3]                   0                           1 
  1749 R5[1,3,4]                   0                           1 
  1750 R5[1,4,1]                   0                           1 
  1751 R5[1,4,2]                   0                           1 
  1752 R5[1,4,3]                   0                           1 
  1753 R5[1,4,4]                   0                           1 
  1754 R5[1,5,1]                   0                           1 
  1755 R5[1,5,2]                   0                           1 
  1756 R5[1,5,3]                   0                           1 
  1757 R5[1,5,4]                   0                           1 
  1758 R5[1,6,1]                   0                           1 
